id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,completed
28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,completed
30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,not completed
31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,completed
32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,completed
38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,completed
45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,completed
45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,completed
52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,completed
53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,completed
57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,completed
58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,completed
59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,completed
62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,completed
63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,completed
65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,not completed
70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,completed
71361,M,Ireland,HE Qualification,,35-55,0,60,N,completed
74372,M,East Anglian Region,A Level or Equivalent,Oct-20,35-55,0,150,N,not completed
75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,completed
77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,completed
91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,completed
94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,not completed
98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,completed
100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,completed
101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,completed
102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,completed
102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,completed
104476,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,completed
106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,not completed
106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,completed
110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,completed
111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,completed
113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,completed
114017,F,North Region,Post Graduate Qualification,,35-55,0,60,N,completed
114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,completed
116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,completed
116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,completed
118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,completed
123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,completed
127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,completed
129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,not completed
132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,completed
134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,completed
135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,not completed
135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,not completed
137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,completed
141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,completed
141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,not completed
142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,completed
144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,completed
145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,completed
146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,not completed
