id_student,highest_education,disability,final_result
11391,HE Qualification,N,completed
28400,HE Qualification,N,completed
30268,A Level or Equivalent,Y,not completed
31604,A Level or Equivalent,N,completed
32885,Lower Than A Level,N,completed
38053,A Level or Equivalent,N,completed
45462,HE Qualification,N,completed
45642,A Level or Equivalent,N,completed
52130,A Level or Equivalent,N,completed
53025,Post Graduate Qualification,N,completed
57506,Lower Than A Level,N,completed
58873,A Level or Equivalent,N,completed
59185,Lower Than A Level,N,completed
62155,HE Qualification,N,completed
63400,Lower Than A Level,N,completed
65002,A Level or Equivalent,N,not completed
70464,A Level or Equivalent,N,completed
71361,HE Qualification,N,completed
74372,A Level or Equivalent,N,not completed
75091,A Level or Equivalent,N,completed
77367,A Level or Equivalent,N,completed
91265,HE Qualification,N,completed
94961,Lower Than A Level,N,not completed
98094,Lower Than A Level,N,completed
100893,A Level or Equivalent,N,completed
101781,Lower Than A Level,N,completed
102806,A Level or Equivalent,N,completed
102952,HE Qualification,N,completed
104476,Post Graduate Qualification,N,completed
106247,HE Qualification,N,not completed
106577,Lower Than A Level,N,completed
110175,HE Qualification,N,completed
111717,HE Qualification,N,completed
113295,Lower Than A Level,N,completed
114017,Post Graduate Qualification,N,completed
114999,HE Qualification,N,completed
116541,HE Qualification,N,completed
116692,A Level or Equivalent,N,completed
118983,HE Qualification,N,completed
123044,A Level or Equivalent,N,completed
127582,A Level or Equivalent,N,completed
129955,A Level or Equivalent,N,not completed
132976,Lower Than A Level,N,completed
134143,A Level or Equivalent,N,completed
135335,Lower Than A Level,N,not completed
135400,Lower Than A Level,Y,not completed
137873,A Level or Equivalent,N,completed
141355,A Level or Equivalent,N,completed
141377,A Level or Equivalent,N,not completed
142326,A Level or Equivalent,N,completed
144801,HE Qualification,N,completed
145130,HE Qualification,N,completed
146188,A Level or Equivalent,Y,not completed
147756,Lower Than A Level,N,not completed
147793,Lower Than A Level,N,not completed
148993,A Level or Equivalent,Y,not completed
151358,A Level or Equivalent,N,completed
155550,A Level or Equivalent,N,completed
155854,A Level or Equivalent,N,completed
155984,Lower Than A Level,N,not completed
157568,A Level or Equivalent,N,completed
159954,A Level or Equivalent,N,not completed
164259,A Level or Equivalent,N,completed
167906,A Level or Equivalent,N,completed
168936,Lower Than A Level,N,completed
172112,HE Qualification,N,completed
172797,A Level or Equivalent,N,completed
174782,HE Qualification,N,completed
175392,HE Qualification,N,completed
175932,HE Qualification,N,completed
175991,A Level or Equivalent,N,not completed
180753,A Level or Equivalent,N,completed
181316,A Level or Equivalent,N,not completed
183096,A Level or Equivalent,N,completed
183947,A Level or Equivalent,N,completed
184271,HE Qualification,N,completed
185439,HE Qualification,N,not completed
186149,HE Qualification,N,completed
187100,A Level or Equivalent,N,completed
188278,A Level or Equivalent,N,not completed
189879,A Level or Equivalent,N,completed
192183,Lower Than A Level,N,completed
195262,A Level or Equivalent,N,not completed
200860,Lower Than A Level,N,completed
202635,A Level or Equivalent,N,not completed
205350,HE Qualification,N,completed
205719,A Level or Equivalent,Y,not completed
227499,A Level or Equivalent,N,completed
227517,HE Qualification,N,not completed
228082,HE Qualification,N,completed
228222,Lower Than A Level,N,completed
229179,A Level or Equivalent,N,completed
229361,A Level or Equivalent,N,completed
231554,A Level or Equivalent,N,completed
235507,A Level or Equivalent,N,not completed
236284,Post Graduate Qualification,N,completed
238007,HE Qualification,N,completed
240712,HE Qualification,N,completed
240884,A Level or Equivalent,N,completed
241649,HE Qualification,N,completed
241729,HE Qualification,N,not completed
242793,HE Qualification,N,completed
246834,A Level or Equivalent,N,completed
248270,Lower Than A Level,N,completed
255548,Lower Than A Level,N,completed
256815,HE Qualification,N,completed
258392,Lower Than A Level,N,completed
258894,Lower Than A Level,N,completed
260355,A Level or Equivalent,N,not completed
262011,A Level or Equivalent,N,completed
262934,A Level or Equivalent,N,completed
268073,A Level or Equivalent,N,not completed
268733,A Level or Equivalent,N,not completed
271251,A Level or Equivalent,N,completed
277880,A Level or Equivalent,N,not completed
279572,Lower Than A Level,N,completed
281022,A Level or Equivalent,N,completed
281250,Lower Than A Level,N,not completed
281589,HE Qualification,N,not completed
282821,A Level or Equivalent,N,completed
286488,A Level or Equivalent,N,completed
287548,A Level or Equivalent,N,completed
290201,A Level or Equivalent,N,completed
290757,A Level or Equivalent,N,completed
291334,A Level or Equivalent,N,completed
292923,A Level or Equivalent,N,not completed
293699,A Level or Equivalent,N,completed
294570,HE Qualification,N,completed
294594,A Level or Equivalent,N,completed
295741,A Level or Equivalent,N,not completed
296332,Post Graduate Qualification,N,completed
298696,HE Qualification,N,completed
300398,A Level or Equivalent,N,completed
302302,A Level or Equivalent,N,not completed
305152,A Level or Equivalent,N,not completed
305386,A Level or Equivalent,Y,completed
305539,Lower Than A Level,N,not completed
306107,A Level or Equivalent,N,completed
306466,A Level or Equivalent,N,completed
306897,A Level or Equivalent,N,completed
307061,HE Qualification,N,completed
307866,A Level or Equivalent,N,completed
311917,A Level or Equivalent,N,completed
312537,Post Graduate Qualification,N,completed
312782,A Level or Equivalent,N,completed
318933,HE Qualification,N,completed
319047,A Level or Equivalent,N,completed
321942,HE Qualification,N,completed
324002,HE Qualification,N,completed
324084,A Level or Equivalent,N,completed
324282,A Level or Equivalent,N,completed
331358,HE Qualification,N,not completed
332789,A Level or Equivalent,N,completed
333059,A Level or Equivalent,N,completed
333323,HE Qualification,N,completed
334259,A Level or Equivalent,N,not completed
334333,A Level or Equivalent,Y,not completed
335764,A Level or Equivalent,N,not completed
336207,A Level or Equivalent,N,completed
339972,A Level or Equivalent,N,completed
341872,Lower Than A Level,N,not completed
342007,HE Qualification,N,not completed
342514,Lower Than A Level,N,completed
342972,HE Qualification,N,completed
343446,HE Qualification,N,completed
344282,A Level or Equivalent,N,not completed
345068,A Level or Equivalent,Y,completed
345357,A Level or Equivalent,N,completed
346025,A Level or Equivalent,N,completed
346843,HE Qualification,N,not completed
350188,HE Qualification,N,completed
354858,HE Qualification,N,not completed
357668,A Level or Equivalent,N,not completed
364177,Lower Than A Level,N,not completed
365244,A Level or Equivalent,N,completed
365642,Lower Than A Level,N,completed
366483,HE Qualification,N,completed
368194,A Level or Equivalent,Y,completed
368824,HE Qualification,N,not completed
368963,Lower Than A Level,N,completed
376439,HE Qualification,N,completed
376581,A Level or Equivalent,N,completed
380953,A Level or Equivalent,N,completed
383254,A Level or Equivalent,N,completed
386924,Lower Than A Level,N,completed
386952,A Level or Equivalent,N,completed
388722,Lower Than A Level,N,completed
388885,A Level or Equivalent,N,completed
390890,A Level or Equivalent,N,not completed
392756,A Level or Equivalent,N,not completed
392931,A Level or Equivalent,N,completed
393207,A Level or Equivalent,N,completed
396872,HE Qualification,N,completed
398552,Lower Than A Level,N,not completed
401869,Lower Than A Level,N,completed
402470,Lower Than A Level,N,completed
404804,Lower Than A Level,N,completed
405088,A Level or Equivalent,N,completed
405961,A Level or Equivalent,Y,not completed
414117,A Level or Equivalent,N,completed
415969,HE Qualification,N,not completed
420087,A Level or Equivalent,Y,not completed
429958,A Level or Equivalent,N,completed
441018,A Level or Equivalent,N,completed
441888,A Level or Equivalent,N,completed
442442,HE Qualification,N,not completed
444677,HE Qualification,N,completed
470588,HE Qualification,N,not completed
489455,A Level or Equivalent,N,completed
494424,A Level or Equivalent,N,not completed
495284,HE Qualification,N,completed
498857,HE Qualification,N,completed
508818,A Level or Equivalent,N,completed
512460,HE Qualification,N,completed
544103,HE Qualification,N,completed
550383,HE Qualification,N,completed
564450,HE Qualification,N,not completed
568601,HE Qualification,N,not completed
572652,HE Qualification,N,completed
580389,HE Qualification,N,completed
581129,A Level or Equivalent,N,not completed
588775,A Level or Equivalent,N,completed
591774,Post Graduate Qualification,N,completed
603861,HE Qualification,N,not completed
606143,Post Graduate Qualification,N,not completed
704156,HE Qualification,N,completed
705379,A Level or Equivalent,N,completed
721259,Lower Than A Level,N,not completed
749412,Lower Than A Level,N,completed
760729,A Level or Equivalent,N,completed
905042,A Level or Equivalent,N,completed
949618,A Level or Equivalent,N,completed
958987,HE Qualification,N,completed
968578,A Level or Equivalent,N,completed
969076,A Level or Equivalent,N,not completed
971027,HE Qualification,N,completed
978739,HE Qualification,N,completed
1035023,Lower Than A Level,N,completed
1105478,HE Qualification,N,completed
1352868,A Level or Equivalent,N,not completed
1401935,A Level or Equivalent,N,not completed
1402638,HE Qualification,N,completed
1414443,A Level or Equivalent,N,not completed
1456619,A Level or Equivalent,N,not completed
1465690,HE Qualification,N,completed
1472925,Lower Than A Level,Y,not completed
1488959,A Level or Equivalent,N,completed
1518989,Lower Than A Level,N,completed
1618738,Lower Than A Level,N,completed
1620151,HE Qualification,N,not completed
1626710,A Level or Equivalent,N,completed
1640609,A Level or Equivalent,N,completed
1686521,Lower Than A Level,N,not completed
1729319,HE Qualification,N,completed
1746134,A Level or Equivalent,N,completed
1758449,Lower Than A Level,N,not completed
1763015,A Level or Equivalent,N,not completed
1765788,HE Qualification,N,completed
1801229,HE Qualification,N,completed
1801641,A Level or Equivalent,N,completed
1847830,Lower Than A Level,N,completed
1860318,Lower Than A Level,Y,completed
1889511,A Level or Equivalent,N,completed
1889577,A Level or Equivalent,Y,completed
1894188,A Level or Equivalent,N,completed
1938355,A Level or Equivalent,N,completed
1942396,Lower Than A Level,Y,completed
1970390,Lower Than A Level,N,not completed
1976139,Lower Than A Level,N,completed
2011876,A Level or Equivalent,Y,completed
2012966,Lower Than A Level,N,completed
2051699,Lower Than A Level,N,completed
2062879,A Level or Equivalent,N,not completed
2065691,A Level or Equivalent,Y,not completed
2073016,Lower Than A Level,N,not completed
2080474,A Level or Equivalent,N,completed
2083877,A Level or Equivalent,N,completed
2084066,Lower Than A Level,N,not completed
2104505,Lower Than A Level,N,completed
2122180,Lower Than A Level,N,completed
2139353,A Level or Equivalent,N,not completed
2143752,Lower Than A Level,N,completed
2146792,HE Qualification,N,completed
2149225,A Level or Equivalent,Y,not completed
2153153,A Level or Equivalent,N,completed
2155014,Lower Than A Level,Y,completed
2164705,A Level or Equivalent,N,not completed
2171627,A Level or Equivalent,N,completed
2182846,A Level or Equivalent,N,completed
2194100,A Level or Equivalent,N,completed
2197016,HE Qualification,N,completed
2208424,A Level or Equivalent,N,completed
2229865,A Level or Equivalent,N,completed
2255601,A Level or Equivalent,N,not completed
2268379,A Level or Equivalent,N,completed
2278464,Lower Than A Level,N,completed
2293923,A Level or Equivalent,N,completed
2312620,HE Qualification,N,not completed
2318055,A Level or Equivalent,N,not completed
2324976,HE Qualification,N,not completed
2329342,Lower Than A Level,N,completed
2339528,Lower Than A Level,N,completed
2342426,Lower Than A Level,N,not completed
2344901,A Level or Equivalent,N,not completed
2358056,HE Qualification,N,not completed
2358969,A Level or Equivalent,N,not completed
2364471,HE Qualification,Y,completed
2365101,HE Qualification,N,not completed
2367155,A Level or Equivalent,N,completed
2369266,Lower Than A Level,N,completed
2376496,A Level or Equivalent,N,completed
2391984,A Level or Equivalent,N,not completed
2411661,A Level or Equivalent,N,not completed
2411778,HE Qualification,N,not completed
2412002,Lower Than A Level,N,completed
2412967,A Level or Equivalent,N,completed
2429854,A Level or Equivalent,Y,not completed
2437837,A Level or Equivalent,N,completed
2449878,A Level or Equivalent,N,completed
2456480,Lower Than A Level,N,not completed
2457256,Lower Than A Level,N,completed
2458355,Lower Than A Level,N,completed
2460080,HE Qualification,N,completed
2461190,HE Qualification,N,not completed
2469673,Lower Than A Level,N,not completed
2470694,HE Qualification,N,not completed
2479954,A Level or Equivalent,N,completed
2481901,Lower Than A Level,N,completed
2482700,Lower Than A Level,N,completed
2486127,HE Qualification,N,completed
2498700,Lower Than A Level,N,completed
2516503,HE Qualification,N,completed
2518069,A Level or Equivalent,N,completed
2521459,Lower Than A Level,N,completed
2523736,A Level or Equivalent,N,completed
2529279,HE Qualification,N,completed
2532302,A Level or Equivalent,N,completed
2536991,HE Qualification,N,completed
2542724,Lower Than A Level,N,not completed
2550279,HE Qualification,N,completed
2551220,Lower Than A Level,N,completed
2552472,HE Qualification,N,not completed
2555340,HE Qualification,N,completed
2557283,HE Qualification,N,completed
2559575,Lower Than A Level,N,completed
2562034,A Level or Equivalent,N,completed
2566163,A Level or Equivalent,N,completed
2566592,A Level or Equivalent,N,completed
2569324,A Level or Equivalent,N,not completed
2574528,HE Qualification,N,completed
2574583,Lower Than A Level,N,completed
2576122,A Level or Equivalent,N,not completed
2578995,A Level or Equivalent,Y,completed
2586560,Lower Than A Level,N,completed
2594139,A Level or Equivalent,N,completed
2598871,A Level or Equivalent,N,completed
2599352,A Level or Equivalent,N,completed
2600688,A Level or Equivalent,N,completed
2606098,A Level or Equivalent,N,completed
2613116,Lower Than A Level,N,completed
2617002,A Level or Equivalent,N,completed
2620584,A Level or Equivalent,Y,not completed
2639449,A Level or Equivalent,N,completed
2639540,A Level or Equivalent,N,completed
2639641,Lower Than A Level,N,completed
2641155,Lower Than A Level,N,completed
2643002,A Level or Equivalent,N,completed
2645733,A Level or Equivalent,N,completed
2649826,Lower Than A Level,N,completed
2650282,A Level or Equivalent,N,completed
2664024,HE Qualification,N,completed
2666246,A Level or Equivalent,N,completed
2669816,A Level or Equivalent,N,not completed
2671132,HE Qualification,N,completed
2676809,HE Qualification,N,not completed
2678643,A Level or Equivalent,N,completed
2685865,Lower Than A Level,N,completed
2688067,A Level or Equivalent,N,completed
2689958,A Level or Equivalent,N,completed
2691206,A Level or Equivalent,N,completed
2691244,A Level or Equivalent,N,completed
2694424,A Level or Equivalent,N,completed
2698257,Lower Than A Level,N,completed
6516,HE Qualification,N,completed
24734,Lower Than A Level,N,completed
26192,A Level or Equivalent,N,completed
28061,Lower Than A Level,N,completed
31600,A Level or Equivalent,N,completed
46844,HE Qualification,N,completed
52765,Lower Than A Level,N,completed
55104,A Level or Equivalent,N,completed
58071,HE Qualification,N,completed
58316,A Level or Equivalent,N,completed
62487,A Level or Equivalent,N,completed
63165,A Level or Equivalent,N,completed
65002,A Level or Equivalent,N,not completed
70011,HE Qualification,N,completed
75255,A Level or Equivalent,N,completed
79403,Lower Than A Level,N,not completed
85092,Lower Than A Level,N,completed
85144,A Level or Equivalent,N,completed
85302,Lower Than A Level,N,completed
87431,Lower Than A Level,N,not completed
94961,Lower Than A Level,N,completed
95755,Lower Than A Level,N,not completed
101116,Lower Than A Level,N,completed
107489,HE Qualification,N,completed
108872,HE Qualification,N,completed
109155,HE Qualification,N,completed
111512,A Level or Equivalent,N,not completed
117818,A Level or Equivalent,N,completed
119902,A Level or Equivalent,N,not completed
121349,A Level or Equivalent,N,completed
124064,A Level or Equivalent,N,completed
125018,HE Qualification,N,completed
129955,A Level or Equivalent,N,not completed
130034,A Level or Equivalent,N,completed
130547,A Level or Equivalent,N,completed
130636,A Level or Equivalent,N,completed
131390,A Level or Equivalent,N,completed
133816,A Level or Equivalent,N,completed
133922,Lower Than A Level,N,completed
135335,Lower Than A Level,N,not completed
135400,Lower Than A Level,Y,completed
135471,Lower Than A Level,N,completed
139033,A Level or Equivalent,N,not completed
141377,A Level or Equivalent,N,completed
141506,A Level or Equivalent,N,not completed
146503,Lower Than A Level,Y,completed
147756,Lower Than A Level,N,completed
148993,A Level or Equivalent,Y,completed
149741,A Level or Equivalent,N,completed
149962,A Level or Equivalent,N,completed
151587,A Level or Equivalent,N,not completed
152668,Lower Than A Level,N,not completed
155984,Lower Than A Level,N,completed
158707,A Level or Equivalent,N,not completed
159954,A Level or Equivalent,N,not completed
164944,A Level or Equivalent,Y,completed
165226,A Level or Equivalent,N,not completed
167961,HE Qualification,N,completed
174024,A Level or Equivalent,N,completed
174094,Lower Than A Level,Y,completed
174745,A Level or Equivalent,N,completed
175447,A Level or Equivalent,N,completed
175772,HE Qualification,N,not completed
183057,Lower Than A Level,N,completed
185350,Lower Than A Level,N,not completed
188278,A Level or Equivalent,N,completed
199636,A Level or Equivalent,N,completed
199897,HE Qualification,N,completed
200804,A Level or Equivalent,N,completed
205494,HE Qualification,N,completed
228021,A Level or Equivalent,N,completed
228383,HE Qualification,N,completed
232307,Lower Than A Level,N,completed
235068,Lower Than A Level,N,completed
235507,A Level or Equivalent,N,completed
236875,A Level or Equivalent,N,completed
237274,A Level or Equivalent,N,completed
243510,Lower Than A Level,N,not completed
244246,A Level or Equivalent,N,completed
248581,A Level or Equivalent,N,completed
252073,A Level or Equivalent,N,completed
254625,A Level or Equivalent,N,completed
258587,A Level or Equivalent,N,completed
260355,A Level or Equivalent,N,not completed
260623,Lower Than A Level,N,completed
263251,A Level or Equivalent,N,completed
263543,Lower Than A Level,N,completed
263952,Lower Than A Level,N,completed
266524,A Level or Equivalent,N,completed
268733,A Level or Equivalent,N,not completed
273346,Lower Than A Level,N,completed
274947,Lower Than A Level,N,not completed
275674,A Level or Equivalent,N,not completed
275792,HE Qualification,N,completed
277123,A Level or Equivalent,N,not completed
277880,A Level or Equivalent,N,not completed
281077,HE Qualification,N,completed
281636,A Level or Equivalent,N,completed
285315,HE Qualification,N,completed
287040,A Level or Equivalent,N,completed
287204,A Level or Equivalent,N,completed
287210,A Level or Equivalent,N,completed
288994,A Level or Equivalent,N,not completed
289449,HE Qualification,N,completed
290164,HE Qualification,N,completed
292525,A Level or Equivalent,N,completed
292775,A Level or Equivalent,N,completed
293824,A Level or Equivalent,N,completed
294496,A Level or Equivalent,Y,completed
294655,A Level or Equivalent,N,not completed
295060,A Level or Equivalent,N,not completed
295075,HE Qualification,N,completed
296424,A Level or Equivalent,N,completed
298034,A Level or Equivalent,N,not completed
298838,A Level or Equivalent,N,completed
301967,A Level or Equivalent,N,completed
302476,A Level or Equivalent,N,completed
303521,A Level or Equivalent,N,completed
303985,HE Qualification,N,completed
304465,A Level or Equivalent,N,completed
306646,A Level or Equivalent,N,completed
309142,A Level or Equivalent,N,completed
310412,A Level or Equivalent,N,completed
311235,A Level or Equivalent,N,completed
