gender,region,highest_education,disability,final_result
M,South Region,HE Qualification,N,not completed
M,Scotland,HE Qualification,N,completed
M,London Region,HE Qualification,N,not completed
M,London Region,HE Qualification,N,not completed
M,East Anglian Region,HE Qualification,N,completed
F,East Anglian Region,Lower Than A Level,N,not completed
F,East Anglian Region,A Level or Equivalent,N,not completed
F,East Anglian Region,A Level or Equivalent,N,completed
M,Wales,A Level or Equivalent,N,completed
F,Yorkshire Region,Lower Than A Level,Y,completed
F,East Anglian Region,A Level or Equivalent,N,not completed
F,East Anglian Region,A Level or Equivalent,N,completed
M,East Midlands Region,A Level or Equivalent,N,completed
F,South Region,Lower Than A Level,N,completed
F,East Anglian Region,Lower Than A Level,N,completed
M,North Western Region,HE Qualification,N,completed
F,Scotland,HE Qualification,N,not completed
F,London Region,HE Qualification,N,not completed
F,Scotland,Lower Than A Level,N,not completed
F,Scotland,Lower Than A Level,N,not completed
F,London Region,A Level or Equivalent,N,not completed
M,North Western Region,Lower Than A Level,N,completed
F,East Anglian Region,A Level or Equivalent,N,completed
F,London Region,HE Qualification,N,completed
M,South East Region,HE Qualification,N,not completed
M,Yorkshire Region,Lower Than A Level,N,not completed
F,East Anglian Region,Lower Than A Level,N,completed
M,West Midlands Region,A Level or Equivalent,N,not completed
M,South West Region,A Level or Equivalent,Y,not completed
M,Wales,Lower Than A Level,N,not completed
M,Yorkshire Region,HE Qualification,N,completed
F,South Region,Lower Than A Level,N,not completed
M,South West Region,Lower Than A Level,N,not completed
M,South West Region,Lower Than A Level,N,not completed
F,South East Region,Lower Than A Level,N,not completed
M,London Region,HE Qualification,N,completed
M,North Western Region,Lower Than A Level,Y,not completed
M,Wales,A Level or Equivalent,N,completed
M,Scotland,Lower Than A Level,Y,not completed
M,Scotland,Lower Than A Level,Y,not completed
F,East Anglian Region,Lower Than A Level,Y,not completed
F,Yorkshire Region,HE Qualification,N,not completed
M,Yorkshire Region,Lower Than A Level,N,completed
M,East Anglian Region,A Level or Equivalent,N,not completed
F,Scotland,HE Qualification,N,completed
F,West Midlands Region,A Level or Equivalent,N,not completed
M,Scotland,Lower Than A Level,N,not completed
M,South East Region,Lower Than A Level,N,completed
F,South Region,A Level or Equivalent,N,not completed
